CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
30181,CHEM-111-04D,Biochemistry I,0,DISC,F,9:30-10:20am,SCIENG 118,28-AUG 12-DEC,"Fischer, Kathryn"
31157,CHEM-111-06D,Biochemistry I,0,DISC,M,8:30-9:20am,SCIENG 118,28-AUG 12-DEC,"Ankirskaia, Anna"
31158,CHEM-111-07D,Biochemistry I,0,DISC,M,9:30-10:20am,CLSSRM 113,16-DEC 16-DEC,"Ankirskaia, Anna"
30182,CHEM-112-01,Quantum Chem and Spect,3,LECT,TR,12:00-1:15pm,SCIENG 118,28-AUG 12-DEC,"Isborn, Christine"
30183,CHEM-115-01,Instrumental Analysis,3,LECT,MWF,8:30-9:20am,SCIENG 118,28-AUG 12-DEC,"Kelley, David"
30184,CHEM-120-01,Inorganic Chemistry,3,LECT,MWF,9:30-10:20am,CLSSRM 120,28-AUG 12-DEC,"Menke, Erik"
31159,CHEM-155-01,Instrumental Lab,2,LAB,W,1:30-7:20pm,CLSSRM 266,28-AUG 12-DEC,"Kelley, Anne"
31160,CHEM-155-02,Instrumental Lab,2,LAB,R,1:00-6:50pm,KOLLIG 217,19-DEC 19-DEC,"Kelley, Anne"
35161,CHEM-181-01,Biomolecular SimulationMust Also Register for a CorrespondingDiscussion and Lab,4,LECT,TR,12:00-1:15pm,CLSSRM 279,28-AUG 12-DEC,"Colvin, Michael"
35164,CHEM-181-02D,Biomolecular Simulation,0,DISC,F,10:00-10:50am,CLSSRM 266,28-AUG 12-DEC,"Connolly, Timothy"
35165,CHEM-181-02L,Biomolecular Simulation,0,LAB,F,11:00-1:50pm,CLSSRM 110,28-AUG 12-DEC,"Connolly, Timothy"
30958,CHEM-200-01,Adv Organic Synthesis,3,LECT,TR,9:00-10:15am,SSB 170,18-DEC 18-DEC,"Hein, Jason"
30959,CHEM-212-01,Molec & Solid State Quant Chem,3,LECT,TR,1:30-2:50pm,CLSSRM 114,28-AUG 12-DEC,"Johnson, Erin"
34847,CHEM-281-01,Molecular DynamicsMust Also Register for a CorrespondingDiscussion and Lab,4,LECT,TR,12:00-1:15pm,CLSSRM 279,13-DEC 13-DEC,"Colvin, Michael"
34848,CHEM-281-02D,Molecular Dynamics,0,DISC,F,10:00-10:50am,CLSSRM 263,28-AUG 12-DEC,"Connolly, Timothy"
34849,CHEM-281-02L,Molecular Dynamics,0,LAB,F,11:00-1:50pm,KOLLIG 217,28-AUG 12-DEC,"Connolly, Timothy"
35192,CHEM-281-03D,Molecular Dynamics,0,DISC,W,9:30-10:20am,CLSSRM 105,17-DEC 17-DEC,"Colvin, Michael"
35193,CHEM-281-03L,Molecular Dynamics,0,LAB,W,11:00-1:50pm,SCIENG 128,28-AUG 12-DEC,"Colvin, Michael"
30185,CHEM-291-01,Physics and Chemistry Seminar,1,SEM,F,3:00-4:20pm,SCIENG 128,28-AUG 12-DEC,"Kelley, Anne"
34309,CHEM-298-01,Directed Group StudyClass will meet in SCIENG 390,2,INI,R,1:00-2:50pm,SSM 104,28-AUG 12-DEC,"Hein, Jason / Menke, Erik"
31466,CHN-001-01,Elementary Chinese I,4,LECT,MTWR,1:00-1:50pm,CLSSRM 129,28-AUG 12-DEC,"Zhao, Zifu"
30375,CHN-001-02,Elementary Chinese I,4,LECT,MTWR,2:00-2:50pm,SCIENG 138,28-AUG 12-DEC,"Zhao, Zifu"
30376,CHN-002-01,Elementary Chinese II,4,LECT,MTWR,3:00-3:50pm,SSB 160,17-DEC 17-DEC,"Zhao, Zifu"
30347,COGS-001-01,Intro to Cognitive ScienceMust Also Register for a Corresponding Discussion,4,LECT,TR,1:30-2:45pm,SSM 150,28-AUG 12-DEC,"Spivey, Michael"
30357,COGS-001-02D,Intro to Cognitive Science,0,DISC,F,2:30-3:20pm,KOLLIG 217,19-DEC 19-DEC,"Pretzer, Gina"
30358,COGS-001-03D,Intro to Cognitive Science,0,DISC,F,3:30-4:20pm,CLSSRM 129,28-AUG 12-DEC,"Pretzer, Gina"
30359,COGS-001-04D,Intro to Cognitive Science,0,DISC,T,10:30-11:20am,SCIENG 138,28-AUG 12-DEC,"Spevack, Samuel"
30360,COGS-001-05D,Intro to Cognitive Science,0,DISC,T,8:00-8:50am,CLSSRM 288,28-AUG 12-DEC,"Spevack, Samuel"
30361,COGS-001-06D,Intro to Cognitive Science,0,DISC,M,7:30-8:20pm,SCIENG 138,28-AUG 12-DEC,"Krishnamurthy, Umesh"
30362,COGS-001-07D,Intro to Cognitive Science,0,DISC,M,8:30-9:20pm,CLSSRM 267,28-AUG 12-DEC,"Krishnamurthy, Umesh"
30363,COGS-001-08D,Intro to Cognitive Science,0,DISC,T,6:30-7:20pm,CLSSRM 110,16-DEC 16-DEC,"Shea, Timothy"
30364,COGS-001-09D,Intro to Cognitive Science,0,DISC,T,7:30-8:20pm,SSM 102,28-AUG 12-DEC,"Shea, Timothy"
30365,COGS-001-10D,Intro to Cognitive Science,0,DISC,W,9:30-10:20pm,CLSSRM 276,28-AUG 12-DEC,"Holman, Daniel"
30366,COGS-001-11D,Intro to Cognitive Science,0,DISC,W,8:30-9:20pm,SSM 102,28-AUG 12-DEC,"Holman, Daniel"
30348,COGS-101-01,"Mind, Brain, & Computation",4,LECT,MW,4:30-5:45pm,CLSSRM 110,15-DEC 15-DEC,"Pageler, Ben"
30349,COGS-125-01,Intro to Artificial IntellMust Also Register for a Corresponding Lab,4,LECT,TR,12:00-1:15pm,CLSSRM 102,28-AUG 12-DEC,"Noelle, David"
30350,COGS-125-02L,Intro to Artificial Intell,0,LAB,F,8:00-10:50am,CLSSRM 129,28-AUG 12-DEC,"Kyrilov, Angelo"
30576,COGS-125-03L,Intro to Artificial Intell,0,LAB,F,2:00-4:50pm,CLSSRM 265,19-DEC 19-DEC,"Rodny, Jeffrey"
35132,COGS-125-04L,Intro to Artificial Intell,0,LAB,F,5:00-7:50pm,CLSSRM 267,28-AUG 12-DEC,"Rodny, Jeffrey"
35101,COGS-127-01,Modern Everyday Cognition,4,LECT,R,6:00-8:45pm,KOLLIG 296,28-AUG 12-DEC,"Dale, Rick"
34979,COGS-128-01,Cognitive EngineeringMust Also Register for a Corresponding Lab,4,LECT,MWF,12:30-1:20pm,CLSSRM 267,19-DEC 19-DEC,"Milostan, Jeanne"
34980,COGS-128-02L,Cognitive Engineering,0,LAB,R,11:30-12:20pm,CLSSRM 279,28-AUG 12-DEC,"Kerster, Bryan"
34984,COGS-140-01,Perception and Action,4,LECT,TR,4:30-5:45pm,CLSSRM 262,19-DEC 19-DEC,"Balasubramaniam, Ramesh"
